id,gdp,computers_mathematics_statistics,business,before_hs,non_tech_busi,hs,housing,job,graduate,engineering,bachelor_degree,stock
IN1111,297014,30459,153786,303227,381724,1593784,102106.3725,13,263110,50424,453834,1322.254545
NY1501,1412184,308644,1223210,1960192,3302279,7944546,269978.1915,328,2444692,407764,3386474,2305.4725
CA1301,2170092,420454,1469434,3755889,4010214,11924567,423378.4792,828,2810958,790458,4789014,1463.609565
WY0910,36330,1578,9358,19462,36171,160464,210250,0,20640,4740,40973,1033.439545
WY0911,36330,1578,9358,19462,36171,160464,211166.6667,0,20640,4740,40973,1046.013333
WY0912,36330,1578,9358,19462,36171,160464,206433.3333,0,20640,4740,40973,1102.988261
IL1401,729302,133207,588435,860238,1373386,4098980,181126.0965,62,994081,195089,1573175,1909.858696
NM1301,90352,11805,47278,140706,163144,596292,196176.9231,0,125976,25463,159764,1463.609565
WV1408,75236,5281,32716,74249,88304,438570,83018.75,33,64038,10367,97728,2173.679524
WV1409,75236,5281,32716,74249,88304,438570,83687.5,27,64038,10367,97728,2236.772857
ND1312,54704,3923,19482,19659,54125,188226,168508.3333,0,28935,5053,67764,1853.153636
WV1402,71942,5281,32716,74249,88304,438570,80393.75,9,64038,10367,97728,1969.8875
ID1110,57717,7896,40033,64647,106092,450783,136775,0,63933,15342,136013,1291.460952
WV1401,71942,5281,32716,74249,88304,438570,80587.5,11,64038,10367,97728,1909.858696
WV1406,73817,5281,32716,74249,88304,438570,81450,17,64038,10367,97728,2116.38619
ND1311,54704,3923,19482,19659,54125,188226,168025,0,28935,5053,67764,1793.957619
WV1404,73817,5281,32716,74249,88304,438570,80587.5,10,64038,10367,97728,1979.983182
ID1111,57717,7896,40033,64647,106092,450783,135868.75,0,63933,15342,136013,1322.254545
CO0901,248909,64314,246366,261182,625267,1553114,252389.1156,65,428733,98610,732144,634.112
MT0908,36237,3755,19256,24440,68468,231751,230947.0588,0,39930,6461,78879,956.3895238
CO0902,248909,64314,246366,261182,625267,1553114,251764.6259,48,428733,98610,732144,631.5452632
CO0905,244452,64314,246366,261182,625267,1553114,247937.415,88,428733,98610,732144,803.4790476
CO0904,244452,64314,246366,261182,625267,1553114,249478.9116,57,428733,98610,732144,759.6938095
CO0907,246731,64314,246366,261182,625267,1553114,245200,52,428733,98610,732144,888.4069565
CO0906,244452,64314,246366,261182,625267,1553114,246435.3741,58,428733,98610,732144,851.685
CO0909,246731,64314,246366,261182,625267,1553114,243993.9189,54,428733,98610,732144,1007.910909
CO0908,246731,64314,246366,261182,625267,1553114,244872.2973,47,428733,98610,732144,956.3895238
KY1212,175818,17123,88989,188031,230305,900644,126813.253,10,170704,24269,244229,1390.435238
NM0711,83123,11805,47278,140706,163144,596292,222531.25,0,125976,25463,159764,1177.790476
NM0710,83123,11805,47278,140706,163144,596292,223137.5,0,125976,25463,159764,1267.43
ME1012,51442,3711,16857,26895,73828,195579,73200,0,42151,5545,71976,1385.633913
NM0712,83123,11805,47278,140706,163144,596292,222531.25,0,125976,25463,159764,1161.6825
WA0808,358032,79177,223159,307411,712785,2044349,300460.9442,7,473052,130296,816734,1048.620476
WA0809,358032,79177,223159,307411,712785,2044349,298386.2661,5,473052,130296,816734,928.2533333
GA0910,404847,90214,406808,592170,786165,2637528,147532.1586,41,587222,122081,999194,1033.439545
GA0911,404847,90214,406808,592170,786165,2637528,147205.2863,52,587222,122081,999194,1046.013333
GA0912,404847,90214,406808,592170,786165,2637528,146523.7885,56,587222,122081,999194,1102.988261
WA0802,351572,79177,223159,307411,712785,2044349,312300,5,473052,130296,816734,1020.0545
WA0803,351572,79177,223159,307411,712785,2044349,310837.3391,4,473052,130296,816734,989.752
AZ1406,278025,50172,250211,480080,572502,2247681,197183.9623,155,409219,98783,695175,2116.38619
WA0801,351572,79177,223159,307411,712785,2044349,314765.8009,3,473052,130296,816734,1037.95619
WA0806,354579,79177,223159,307411,712785,2044349,305060.515,1,473052,130296,816734,1119.838571
WA0807,358032,79177,223159,307411,712785,2044349,302650.2146,2,473052,130296,816734,1013.687273
WA0804,354579,79177,223159,307411,712785,2044349,309203.4335,1,473052,130296,816734,1052.904091
WA0805,354579,79177,223159,307411,712785,2044349,307342.4893,2,473052,130296,816734,1145.277619
MA0901,384124,87970,322650,375806,936712,2060255,327381.2121,31,746037,155584,951027,634.112
UT1312,135137,24124,94286,121092,269397,894080,216683.75,18,158699,33316,319181,1853.153636
MA0903,384124,87970,322650,375806,936712,2060255,324438.1818,54,746037,155584,951027,648.3013636
MA0902,384124,87970,322650,375806,936712,2060255,326141.5152,32,746037,155584,951027,631.5452632
MA0905,385055,87970,322650,375806,936712,2060255,321327.2727,23,746037,155584,951027,803.4790476
MA0904,385055,87970,322650,375806,936712,2060255,322636.0606,29,746037,155584,951027,759.6938095
MA0907,384773,87970,322650,375806,936712,2060255,320454.2424,20,746037,155584,951027,888.4069565
MA0906,385055,87970,322650,375806,936712,2060255,320706.6667,23,746037,155584,951027,851.685
MA0909,384773,87970,322650,375806,936712,2060255,320601.5152,22,746037,155584,951027,1007.910909
MA0908,384773,87970,322650,375806,936712,2060255,320469.697,26,746037,155584,951027,956.3895238
OR1510,221405,32234,126887,218533,463157,1395790,235232.3529,61,289706,58249,486655,2275.301818
OR1009,191983,32234,126887,218533,463157,1395790,196237.8698,10,289706,58249,486655,1164.608182
WV1312,72996,5281,32716,74249,88304,438570,80825,8,64038,10367,97728,1853.153636
CA1410,2394469,420454,1469434,3755889,4010214,11924567,521400,950,2810958,790458,4789014,2128.036957
MO1308,276720,55801,276025,329212,610899,2009838,138404.2857,20,438090,73200,715346,1667.165
MO1309,276720,55801,276025,329212,610899,2009838,138775.7143,13,438090,73200,715346,1724.962857
MO1306,274984,55801,276025,329212,610899,2009838,137318.5714,15,438090,73200,715346,1559.56
MO1307,276720,55801,276025,329212,610899,2009838,137967.1429,13,438090,73200,715346,1614.018696
MO1304,274984,55801,276025,329212,610899,2009838,136231.4286,19,438090,73200,715346,1498.702273
MO1305,274984,55801,276025,329212,610899,2009838,136663.3333,12,438090,73200,715346,1565.588696
MO1302,275685,55801,276025,329212,610899,2009838,135870,11,438090,73200,715346,1492.3655
MO1303,275685,55801,276025,329212,610899,2009838,135946.1905,14,438090,73200,715346,1513.297619
MO1301,275685,55801,276025,329212,610899,2009838,136290.9091,10,438090,73200,715346,1463.609565
NY1506,1431902,308644,1223210,1960192,3302279,7944546,274921.6755,309,2444692,407764,3386474,2402.202727
NM1411,96472,11805,47278,140706,163144,596292,197646.1538,12,125976,25463,159764,2316.798947
UT1210,129201,24124,94286,121092,269397,894080,195373.4177,0,158699,33316,319181,1351.608696
GA1408,478529,90214,406808,592170,786165,2637528,137620.1613,81,587222,122081,999194,2173.679524
NE0812,83700,11818,68725,79248,157845,532408,119058.8235,0,97195,13623,190735,617.5922727
WI1509,304227,34140,169111,217244,455671,1583850,181744.1176,18,278814,55368,532787,2149.141429
NE0810,83700,11818,68725,79248,157845,532408,119841.1765,0,97195,13623,190735,709.5347826
ND0709,28825,3923,19482,19659,54125,188226,137650,0,28935,5053,67764,1209.621053
ND0708,28825,3923,19482,19659,54125,188226,138150,0,28935,5053,67764,1163.20087
NY1505,1431902,308644,1223210,1960192,3302279,7944546,274025.266,299,2444692,407764,3386474,2407.9505
NE0811,83700,11818,68725,79248,157845,532408,119564.7059,0,97195,13623,190735,617.03
HI0712,66755,10181,58124,70536,148635,531395,525737.7778,0,92543,18452,182131,1161.6825
HI0711,66755,10181,58124,70536,148635,531395,528360,0,92543,18452,182131,1177.790476
HI0710,66755,10181,58124,70536,148635,531395,530586.6667,0,92543,18452,182131,1267.43
UT1406,139093,24124,94286,121092,269397,894080,223382.5,20,158699,33316,319181,2116.38619
NJ1409,546852,9997,38638,83784,102674,378087,337403.5782,46,70990,15327,118830,2236.772857
MS1509,106814,7264,49573,123203,113598,494474,105992.029,2,85801,10534,131583,2149.141429
UT1407,141464,24124,94286,121092,269397,894080,224208.75,26,158699,33316,319181,2173.153913
MI1010,391231,61090,314895,461959,718573,2893513,114767.3729,12,562171,152256,853007,1252.45381
MO1509,297232,55801,276025,329212,610899,2009838,147609.5238,32,438090,73200,715346,2149.141429
FL1006,732815,145537,890486,1435116,1778607,7436207,180031.3883,29,1275533,282798,2264803,1120.118636
ID0811,54958,7896,40033,64647,106092,450783,180789.6552,0,63933,15342,136013,617.03
NJ1208,520936,9997,38638,83784,102674,378087,316903.5782,45,70990,15327,118830,1400.080435
KS1406,146391,9559,52090,94181,144028,550554,157634.6154,4,92424,15708,160676,2116.38619
NV0811,126007,15970,101255,239005,208045,1091503,311569.2308,3,139333,28986,270858,617.03
NV0810,126007,15970,101255,239005,208045,1091503,317876.9231,2,139333,28986,270858,709.5347826
NV0812,126007,15970,101255,239005,208045,1091503,306792.3077,2,139333,28986,270858,617.5922727
KY1105,170516,17123,88989,188031,230305,900644,126455.4217,4,170704,24269,244229,1462.417273
CO1303,282522,64314,246366,261182,625267,1553114,240596.3636,24,428733,98610,732144,1513.297619
KY1106,170516,17123,88989,188031,230305,900644,126161.4458,4,170704,24269,244229,1367.319091
CT1405,243255,38857,164322,209843,444039,1096256,286784.153,0,350664,62435,440395,1996.925455
NY1408,1389977,308644,1223210,1960192,3302279,7944546,268908.2447,192,2444692,407764,3386474,2173.679524
MI1011,391231,61090,314895,461959,718573,2893513,114427.5424,10,562171,152256,853007,1329.745
CT1406,243255,38857,164322,209843,444039,1096256,287135.5191,0,350664,62435,440395,2116.38619
CO1505,314149,64314,246366,261182,625267,1553114,289330.9091,93,428733,98610,732144,2407.9505
MO1504,293894,55801,276025,329212,610899,2009838,144711.4286,30,438090,73200,715346,2388.331905
NY1402,1362666,308644,1223210,1960192,3302279,7944546,263250,157,2444692,407764,3386474,1969.8875
VT1105,27530,2267,8142,12545,38213,83346,206714.2857,6,21879,3768,35447,1462.417273
NY1401,1362666,308644,1223210,1960192,3302279,7944546,262477.6596,189,2444692,407764,3386474,1909.858696
NY1406,1372230,308644,1223210,1960192,3302279,7944546,267302.3936,197,2444692,407764,3386474,2116.38619
NY1407,1389977,308644,1223210,1960192,3302279,7944546,268207.4468,178,2444692,407764,3386474,2173.153913
NY1404,1372230,308644,1223210,1960192,3302279,7944546,264768.883,150,2444692,407764,3386474,1979.983182
KY1101,167827,17123,88989,188031,230305,900644,128234.9398,3,170704,24269,244229,1441.941905
NY0912,1178457,308644,1223210,1960192,3302279,7944546,268213.2394,116,2444692,407764,3386474,1102.988261
NY0911,1178457,308644,1223210,1960192,3302279,7944546,269605.3521,97,2444692,407764,3386474,1046.013333
NY0910,1178457,308644,1223210,1960192,3302279,7944546,269849.2958,92,2444692,407764,3386474,1033.439545
KY1102,167827,17123,88989,188031,230305,900644,127780.7229,9,170704,24269,244229,1491.907
MA1312,447109,87970,322650,375806,936712,2060255,334336.5269,181,746037,155584,951027,1853.153636
VA1503,471510,40361,154937,254085,448210,1427178,255851.3158,1104,306080,59813,485501,2380.088182
TX1502,1636077,213579,995214,2294561,1953257,7404745,170286.783,507,1400386,411982,2682327,2356.258421
LA0902,211821,17707,118403,321043,289957,1302553,126080,0,194715,37415,362359,631.5452632
LA0903,211821,17707,118403,321043,289957,1302553,127182.3529,0,194715,37415,362359,648.3013636
AK1403,59000,2697,15776,19652,49903,190541,223225,4,32362,6993,57302,2017.77381
LA0901,211821,17707,118403,321043,289957,1302553,124938.8235,0,194715,37415,362359,634.112
LA0906,207393,17707,118403,321043,289957,1302553,127804.5977,1,194715,37415,362359,851.685
LA0907,209760,17707,118403,321043,289957,1302553,128368.9655,0,194715,37415,362359,888.4069565
LA0904,207393,17707,118403,321043,289957,1302553,128089.4118,1,194715,37415,362359,759.6938095
LA0905,207393,17707,118403,321043,289957,1302553,128782.3529,1,194715,37415,362359,803.4790476
AK1409,58294,2697,15776,19652,49903,190541,224733.3333,3,32362,6993,57302,2236.772857
AK1408,58294,2697,15776,19652,49903,190541,224991.6667,4,32362,6993,57302,2173.679524
LA0908,209760,17707,118403,321043,289957,1302553,128655.1724,0,194715,37415,362359,956.3895238
LA0909,209760,17707,118403,321043,289957,1302553,128472.4138,0,194715,37415,362359,1007.910909
VA0812,401503,40361,154937,254085,448210,1427178,253269.2661,279,306080,59813,485501,617.5922727
VA0810,401503,40361,154937,254085,448210,1427178,257415.1376,215,306080,59813,485501,709.5347826
VA0811,401503,40361,154937,254085,448210,1427178,255043.1193,221,306080,59813,485501,617.03
MS1302,102543,7264,49573,123203,113598,494474,103478.9855,0,85801,10534,131583,1492.3655
MS1303,102543,7264,49573,123203,113598,494474,103660.8696,2,85801,10534,131583,1513.297619
UT1201,127440,24124,94286,121092,269397,894080,196168.3544,2,158699,33316,319181,1375.101818
MS1306,101632,7264,49573,123203,113598,494474,104131.1594,0,85801,10534,131583,1559.56
MS1307,103978,7264,49573,123203,113598,494474,104131.8841,1,85801,10534,131583,1614.018696
MS1304,101632,7264,49573,123203,113598,494474,103774.6377,1,85801,10534,131583,1498.702273
MS1305,101632,7264,49573,123203,113598,494474,103968.8406,1,85801,10534,131583,1565.588696
MS1308,103978,7264,49573,123203,113598,494474,103994.9275,2,85801,10534,131583,1667.165
MS1309,103978,7264,49573,123203,113598,494474,103862.3188,0,85801,10534,131583,1724.962857
FL0709,778084,145537,890486,1435116,1778607,7436207,277644.8276,0,1275533,282798,2264803,1209.621053
SC0801,161435,21212,141526,233133,319810,1149942,138908.5106,110,219133,44467,382528,1037.95619
NC1112,429420,75081,320315,486153,791402,2308482,154570.7407,39,522169,107423,948264,1302.571364
MD0912,305049,54028,159239,224196,430550,1257002,293469.5082,117,349116,67017,462670,1102.988261
MD0911,305049,54028,159239,224196,430550,1257002,293289.8361,78,349116,67017,462670,1046.013333
MD0910,305049,54028,159239,224196,430550,1257002,294193.7705,60,349116,67017,462670,1033.439545
NY1312,1364485,308644,1223210,1960192,3302279,7944546,261795.7447,144,2444692,407764,3386474,1853.153636
NY1310,1364485,308644,1223210,1960192,3302279,7944546,261093.3511,163,2444692,407764,3386474,1768.180435
NY1311,1364485,308644,1223210,1960192,3302279,7944546,261408.2447,135,2444692,407764,3386474,1793.957619
KY1506,192602,17123,88989,188031,230305,900644,132169.0476,12,170704,24269,244229,2402.202727
DC1404,115337,124249,316781,276101,978209,1252897,445000,0,848663,156585,861894,1979.983182
OH1112,545330,76717,409940,612071,932201,3814008,124318.847,10,671248,142199,1118252,1302.571364
ND1309,56145,3923,19482,19659,54125,188226,167566.6667,0,28935,5053,67764,1724.962857
WV1305,71758,5281,32716,74249,88304,438570,83950,21,64038,10367,97728,1565.588696
MI1110,411752,61090,314895,461959,718573,2893513,110853.7975,14,562171,152256,853007,1291.460952
DC1011,105854,124249,316781,276101,978209,1252897,365300,0,848663,156585,861894,1329.745
DC1010,105854,124249,316781,276101,978209,1252897,363900,0,848663,156585,861894,1252.45381
DC1012,105854,124249,316781,276101,978209,1252897,365800,0,848663,156585,861894,1385.633913
IA1511,175553,16173,88518,114251,225315,822850,141875.5102,30,134345,25011,266296,2342.723
FL1509,894388,145537,890486,1435116,1778607,7436207,224595.8333,208,1275533,282798,2264803,2149.141429
TN1512,322786,31489,210698,364536,462875,1772608,131327.5758,14,318959,59500,562037,2341.770435
MI1112,411752,61090,314895,461959,718573,2893513,110651.6878,16,562171,152256,853007,1302.571364
VT1111,28443,2267,8142,12545,38213,83346,206014.433,3,21879,3768,35447,1322.254545
VT1110,28443,2267,8142,12545,38213,83346,204726.8041,6,21879,3768,35447,1291.460952
VT1112,28443,2267,8142,12545,38213,83346,206679.3814,4,21879,3768,35447,1302.571364
IL0901,632361,133207,588435,860238,1373386,4098980,218265.3753,11,994081,195089,1573175,634.112
IL0902,632361,133207,588435,860238,1373386,4098980,217318.1598,8,994081,195089,1573175,631.5452632
IL0903,632361,133207,588435,860238,1373386,4098980,215580.6295,10,994081,195089,1573175,648.3013636
IL0904,638849,133207,588435,860238,1373386,4098980,213590.5569,7,994081,195089,1573175,759.6938095
IL0905,638849,133207,588435,860238,1373386,4098980,211669.2494,13,994081,195089,1573175,803.4790476
IL0906,638849,133207,588435,860238,1373386,4098980,209938.7409,9,994081,195089,1573175,851.685
IL0907,636455,133207,588435,860238,1373386,4098980,208400,13,994081,195089,1573175,888.4069565
IL0908,636455,133207,588435,860238,1373386,4098980,205753.3493,12,994081,195089,1573175,956.3895238
IL0909,636455,133207,588435,860238,1373386,4098980,204914.8325,18,994081,195089,1573175,1007.910909
NV1410,136378,15970,101255,239005,208045,1091503,268533.3333,8,139333,28986,270858,2128.036957
CA1005,1950203,420454,1469434,3755889,4010214,11924567,410961.1111,615,2810958,790458,4789014,1142.60619
IA1510,175553,16173,88518,114251,225315,822850,140955.102,28,134345,25011,266296,2275.301818
IN0708,273072,30459,153786,303227,381724,1593784,108596.5517,0,263110,50424,453834,1163.20087
IN0709,273072,30459,153786,303227,381724,1593784,108307.6923,0,263110,50424,453834,1209.621053
HI1112,70957,10181,58124,70536,148635,531395,397375.5102,15,92543,18452,182131,1302.571364
HI1110,70957,10181,58124,70536,148635,531395,398840.8163,23,92543,18452,182131,1291.460952
HI1111,70957,10181,58124,70536,148635,531395,397618.3673,23,92543,18452,182131,1322.254545
CA1007,1967595,420454,1469434,3755889,4010214,11924567,407898.6486,513,2810958,790458,4789014,1117.108636
AZ1211,265150,50172,250211,480080,572502,2247681,177308.5714,51,409219,98783,695175,1324.842727
CA1006,1950203,420454,1469434,3755889,4010214,11924567,409488.4384,541,2810958,790458,4789014,1120.118636
AZ1210,265150,50172,250211,480080,572502,2247681,176077.1429,54,409219,98783,695175,1351.608696
WV1307,72284,5281,32716,74249,88304,438570,82637.5,9,64038,10367,97728,1614.018696
WY1508,40094,1578,9358,19462,36171,160464,198011.1111,0,20640,4740,40973,2231.098571
OH1402,574232,76717,409940,612071,932201,3814008,130671.3969,17,671248,142199,1118252,1969.8875
AL1011,177933,24306,131668,221843,264527,1051898,127593.662,33,201930,45492,335456,1329.745
AL1010,177933,24306,131668,221843,264527,1051898,128177.4648,46,201930,45492,335456,1252.45381
GA1506,494747,90214,406808,592170,786165,2637528,144954.4355,105,587222,122081,999194,2402.202727
AL1012,177933,24306,131668,221843,264527,1051898,127068.3099,63,201930,45492,335456,1385.633913
GA1501,487445,90214,406808,592170,786165,2637528,140432.2581,112,587222,122081,999194,2305.4725
GA1502,487445,90214,406808,592170,786165,2637528,141259.6774,128,587222,122081,999194,2356.258421
GA1503,487445,90214,406808,592170,786165,2637528,142273.3871,111,587222,122081,999194,2380.088182
RI1301,52069,10431,49963,108914,142664,448167,244115,0,96711,17280,149624,1463.609565
RI1303,52069,10431,49963,108914,142664,448167,243862.5,0,96711,17280,149624,1513.297619
CA1002,1928260,420454,1469434,3755889,4010214,11924567,414224.0909,345,2810958,790458,4789014,1080.5695
RI1305,51798,10431,49963,108914,142664,448167,246242.5,0,96711,17280,149624,1565.588696
RI1304,51798,10431,49963,108914,142664,448167,244705,0,96711,17280,149624,1498.702273
RI1307,52472,10431,49963,108914,142664,448167,248897.5,0,96711,17280,149624,1614.018696
RI1306,51798,10431,49963,108914,142664,448167,247650,0,96711,17280,149624,1559.56
ID1011,56058,7896,40033,64647,106092,450783,148350,0,63933,15342,136013,1329.745
ID1010,56058,7896,40033,64647,106092,450783,149643.75,0,63933,15342,136013,1252.45381
MD1408,353822,54028,159239,224196,430550,1257002,294565,605,349116,67017,462670,2173.679524
ID1012,56058,7896,40033,64647,106092,450783,147200,0,63933,15342,136013,1385.633913
IA0710,139896,16173,88518,114251,225315,822850,140738.0952,0,134345,25011,266296,1267.43
IA0711,139896,16173,88518,114251,225315,822850,141404.7619,0,134345,25011,266296,1177.790476
IA0712,139896,16173,88518,114251,225315,822850,141457.1429,0,134345,25011,266296,1161.6825
MD1402,341905,54028,159239,224196,430550,1257002,286399.0625,347,349116,67017,462670,1969.8875
MD1403,341905,54028,159239,224196,430550,1257002,287460,541,349116,67017,462670,2017.77381
MD1210,331829,54028,159239,224196,430550,1257002,273046.395,765,349116,67017,462670,1351.608696
MD1401,341905,54028,159239,224196,430550,1257002,285850.3125,355,349116,67017,462670,1909.858696
MD1406,348074,54028,159239,224196,430550,1257002,292454.375,409,349116,67017,462670,2116.38619
MD1407,353822,54028,159239,224196,430550,1257002,293717.5,422,349116,67017,462670,2173.153913
MD1404,348074,54028,159239,224196,430550,1257002,288935,477,349116,67017,462670,1979.983182
MD1405,348074,54028,159239,224196,430550,1257002,290718.4375,394,349116,67017,462670,1996.925455
AL1307,190907,24306,131668,221843,264527,1051898,122333.1169,74,201930,45492,335456,1614.018696
TN1010,255845,31489,210698,364536,462875,1772608,118910.6061,10,318959,59500,562037,1252.45381
ME1208,52773,3711,16857,26895,73828,195579,57000,4,42151,5545,71976,1400.080435
TN1011,255845,31489,210698,364536,462875,1772608,118731.5152,6,318959,59500,562037,1329.745
MS1411,105102,7264,49573,123203,113598,494474,104830.4348,1,85801,10534,131583,2316.798947
NJ1109,496185,9997,38638,83784,102674,378087,323388.7006,21,70990,15327,118830,1226.064545
OK1409,198052,16071,105907,193004,233811,981440,81909.375,4,148815,27610,290413,2236.772857
TX0805,1263327,213579,995214,2294561,1953257,7404745,150700.7968,13,1400386,411982,2682327,1145.277619
DE1101,58630,1741,10366,17740,26182,101897,193126.9231,0,19116,2699,28117,1441.941905
TX1303,1496635,213579,995214,2294561,1953257,7404745,154272.0698,337,1400386,411982,2682327,1513.297619
DE1103,58630,1741,10366,17740,26182,101897,190692.3077,0,19116,2699,28117,1431.115217
DE1102,58630,1741,10366,17740,26182,101897,191857.6923,0,19116,2699,28117,1491.907
DE1105,59724,1741,10366,17740,26182,101897,188642.3077,0,19116,2699,28117,1462.417273
DE1104,59724,1741,10366,17740,26182,101897,189469.2308,0,19116,2699,28117,1458.685714
DE1107,60940,1741,10366,17740,26182,101897,187700,0,19116,2699,28117,1383.293333
DE1106,59724,1741,10366,17740,26182,101897,188250,0,19116,2699,28117,1367.319091
DE1109,60940,1741,10366,17740,26182,101897,185361.5385,0,19116,2699,28117,1226.064545
